frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,123.8,8,1048,970,,,,,,,,,,,,,,,,57,522,468,34.59610147673757,31.01719442741989,,,,,,,,,,,,,
1,123.8,,,,,,,,,,,,,,,,,,,72,1013,537,,,,,,,,,,,,,,,
2,231.7,,,,,,,,,,,,,,,,,,,71,1014,538,,,,,,,,,,,,,,,
3,254.8,,,,,,,,,,,,,,,,,,,70,521,468,34.52982542026873,31.01719442741989,,,,,,,,,,,,,
53,2181.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,642,64.02267054890517,42.549228252999086,0.0,-0.05451277371896197,0.0,14.345466768148047,,,,,,,,,,,,,,,,,,
54,2213.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
55,2251.6,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,-0.33454458790904484,-0.3345445879090807,6.8484050749036625,6.848405074904397,,,,,,,,,,,,,,,,,,
56,2281.5,14,830,192,55.009126869142115,12.725002842018418,0.3245332792192869,0.0,6.490665584385737,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.3336838195601186,0.0,-6.581534902566436,,,,,,,,,,,,,,,,,,
57,2318.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
58,2349.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
59,2382.9,15,831,192,55.075402925610966,12.725002842018418,-0.020612320198147925,0.0,-13.298271095577736,0.0,14,966,643,64.02267054890517,42.61550430946793,0.34234424505222205,0.0,6.752351973416602,0.0,,,,,,,,,,,,,,,,,,
60,2417.7,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
61,2452.9,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
62,2481.2,15,830,192,55.009126869142115,12.725002842018418,-0.3869399151186085,0.0,5.845013823543931,0.0,13,967,643,64.088946605374,42.61550430946793,0.17364789991696983,0.0,-10.184627561112489,0.0,,,,,,,,,,,,,,,,,,
63,2516.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
64,2581.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
65,2613.6,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,-0.2532757264613754,0.0,3.7356301837961,0.0,,,,,,,,,,,,,,,,,,
66,2681.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.40036170595503984,0.0,4.855812079503209,,,,,,,,,,,,,,,,,,
67,2713.6,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
68,2749.2,15,830,192,55.009126869142115,12.725002842018418,0.3814530244981415,0.0,5.6261508038074,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
69,2783.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,644,64.02267054890517,42.681780365936774,0.3462890067032265,-0.02917558582983063,6.776692890474112,-13.26162992265137,,,,,,,,,,,,,,,,,,
70,2813.7,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.33254268680087884,0.0,6.644209526491092,,,,,,,,,,,,,,,,,,
71,2849.2,15,831,192,55.075402925610966,12.725002842018418,0.0,0.0,-13.255211293770229,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
72,2881.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.02341404256333303,-0.023414042563335558,-13.37945289333491,13.379452893336344,,,,,,,,,,,,,,,,,,
73,2913.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,644,64.02267054890517,42.681780365936774,0.0,-0.0006660870031847638,0.0,-13.321740063646661,,,,,,,,,,,,,,,,,,
74,2949.2,15,830,192,55.009126869142115,12.725002842018418,-0.33121450931656987,0.0,6.630921107438832,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
75,2982.6,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,644,64.02267054890517,42.681780365936774,-0.32270919111220703,-0.017915711617718835,6.545825377529559,-13.270897494607485,,,,,,,,,,,,,,,,,,
76,3013.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,-0.33337454683174933,0.0,6.647548291759695,,,,,,,,,,,,,,,,,,
77,3049.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,0.21603859540961426,0.0,4.325097005197479,,,,,,,,,,,,,,,,,,
78,3081.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,-0.17083921476719316,0.0,10.169000878999485,,,,,,,,,,,,,,,,,,
79,3113.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.05509689165818225,0.0,1.098641907441319,0.0,,,,,,,,,,,,,,,,,,
80,3181.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,644,64.02267054890517,42.681780365936774,0.08069201104088072,0.25615342945046576,1.2216807122010716,-3.717756595797757,,,,,,,,,,,,,,,,,,
81,3213.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,644,64.02267054890517,42.681780365936774,0.07857814223910911,0.25971287177490704,1.188776735841285,-3.655353578816439,,,,,,,,,,,,,,,,,,
82,3414.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.05464249336526436,0.0,-1.1016631726867836,0.0,,,,,,,,,,,,,,,,,,
83,3451.1,14,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,-0.42935110219215433,-0.06550876999068139,-5.001177660945309,1.3341908348407578,,,,,,,,,,,,,,,,,,
84,3487.7,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.06147193905406866,-0.061471939054075254,-1.3135029712407784,1.3135029712409192,,,,,,,,,,,,,,,,,,
85,3513.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,-0.3194169580892965,0.0,-6.4398580259938925,0.0,,,,,,,,,,,,,,,,,,
86,3549.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,-0.17205568961742962,0.0,10.241410096275741,0.0,,,,,,,,,,,,,,,,,,
87,3581.3,14,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
88,3615.7,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,-0.15241543623527265,0.0,9.707989569125479,0.0,,,,,,,,,,,,,,,,,,
89,3681.1,14,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.21754950577088958,0.0,-4.329343398425663,0.0,,,,,,,,,,,,,,,,,,
90,3713.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
91,3749.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.21211915614753427,0.0,-4.2508848927361695,0.0,,,,,,,,,,,,,,,,,,
92,3781.6,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.0,-0.3347107374431571,0.0,-6.660910197873773,,,,,,,,,,,,,,,,,,
93,3814.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
94,3849.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.0,-0.2161721976753283,0.0,-4.33210816984627,,,,,,,,,,,,,,,,,,
95,3881.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,642,64.088946605374,42.549228252999086,0.0,-0.3822535188501438,0.0,5.705276400748414,,,,,,,,,,,,,,,,,,
96,3945.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,643,64.088946605374,42.61550430946793,0.0,-0.23866200491523937,0.0,-3.640915406792353,,,,,,,,,,,,,,,,,,
97,3981.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,642,64.088946605374,42.549228252999086,0.0,-0.251140725492361,0.0,3.8022819908003203,,,,,,,,,,,,,,,,,,
98,4015.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,642,64.088946605374,42.549228252999086,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
99,4081.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,967,642,64.088946605374,42.549228252999086,-0.3832579944234046,-0.20577759636845916,-5.6278706963789285,4.12379952642202,,,,,,,,,,11,907,659,60.112383217243256,43.67592121296946,,,,
100,4113.2,15,830,192,55.009126869142115,12.725002842018418,0.3755972641256613,0.0,5.686559638541432,0.0,13,967,642,64.088946605374,42.549228252999086,0.0,0.0,0.0,0.0,,,,,,,,,,12,901,657,59.71472687843018,43.543369100031775,,,,
101,4149.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,967,642,64.088946605374,42.549228252999086,0.0,0.3779098711898962,0.0,5.640445838655149,,,,,,,,,,12,895,654,59.317070539617106,43.344540930625236,,,,
102,4181.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,642,64.02267054890517,42.549228252999086,-0.3780462023848976,-0.21642945770151864,5.7323154266095315,-4.337263681393151,,,,,,,,,,12,888,651,58.85313814433518,43.1457127612187,-15.407197237971085,-6.487240942303605,-55.90202678733083,-23.53769548940243
