Time(Epoch),Time(seconds),Load Cell (lbf),Run Tank Pressure (psig),Combustion Chamber Pressure (psig),Supply Tank Pressure (psig)
3716132448.714,1.3430004119873,-83.772197,761.287638,0.306974,869.004228
3716132448.747,1.37600040435791,-87.161009,760.778987,-0.149121,869.09183
3716132448.778,1.40700006484985,-86.483255,761.550672,-0.16666,869.214557
3716132448.807,1.43600034713745,-87.838804,761.270064,-0.394708,868.636153
3716132448.839,1.4680004119873,-84.449951,761.235021,-0.078947,868.969103
3716132448.869,1.4980001449585,-83.772197,761.217447,0.342064,869.214557
3716132448.899,1.52800035476685,-85.127706,761.480533,0.201723,869.337178
3716132448.928,1.55700016021729,-87.161009,761.112212,-0.043864,869.144412
3716132448.959,1.58800029754639,-88.516558,761.094691,-0.131576,868.566008
3716132448.987,1.61600017547607,-84.449951,761.44549,-0.219289,869.354741
3716132449.017,1.64600038528442,-83.094442,761.375299,-0.061409,869.407323
3716132449.048,1.67700004577637,-84.449951,761.30516,-0.377169,869.074268
3716132449.077,1.70600032806396,-85.8055,760.814083,-0.289456,868.951646
3716132449.104,1.7330002784729,-84.449951,761.199925,-0.342085,869.214557
3716132449.132,1.76100015640259,-81.738893,761.480533,-0.377169,869.477468
3716132449.163,1.79200029373169,-87.838804,761.059648,-0.359624,869.074268
3716132449.192,1.82100009918213,-89.872067,761.147308,-0.92097,868.75888
3716132449.22,1.84899997711182,-84.449951,761.673481,-0.307002,869.09183
3716132449.248,1.87700033187866,-81.061139,761.30516,-0.043864,869.652671
3716132449.277,1.9060001373291,-87.838804,760.901796,-0.078947,869.074268
3716132449.307,1.93600034713745,-86.483255,761.515629,-0.061409,868.828919
3716132449.336,1.96500015258789,-84.449951,761.585768,0.11401,868.846482
3716132449.365,1.99399995803833,-83.772197,761.340256,-0.394708,869.109393
3716132449.396,2.02500009536743,-87.838804,761.059648,-0.464875,868.986666
3716132449.426,2.05500030517578,-85.127706,761.147308,-0.096492,869.161975
3716132449.454,2.08300018310547,-82.416648,761.322681,-0.149121,869.179432
3716132449.485,2.11400032043457,-83.094442,761.427916,0.727985,868.986666
3716132449.513,2.14200019836426,-84.449951,761.375299,-0.429791,869.372304
3716132449.543,2.17200040817261,-89.872067,761.357777,-0.92097,869.179432
3716132449.575,2.2039999961853,-91.227616,761.340256,-0.394708,868.706298
3716132449.605,2.23400020599365,-84.449951,761.673481,0.289435,869.09183
3716132449.635,2.264000415802,-81.061139,761.53315,0.043843,869.284596
3716132449.666,2.29500007629395,-81.061139,761.585768,-0.429791,869.512488
3716132449.693,2.32200002670288,-89.872067,761.568246,-0.850803,869.09183
3716132449.725,2.35400009155273,-88.516558,761.515629,-0.377169,869.004228
3716132449.754,2.38300037384033,-86.483255,761.989131,-0.131576,868.986666
3716132449.783,2.41200017929077,-80.383384,761.287638,0.306974,869.389761
3716132449.814,2.44300031661987,-85.8055,760.884222,-0.16666,869.267139
3716132449.844,2.47300004959106,-87.161009,761.498054,-0.16666,869.074268
3716132449.874,2.50300025939941,-90.549861,761.112212,-0.447336,868.951646
3716132449.906,2.53500032424927,-85.8055,761.463012,-0.078947,869.179432
